party,fold,num_wins
PVDA,0,1731
Vlaams Belang,0,1316
NVA,0,1800
Groen,0,1046
Open VLD,0,1671
CD&V,0,1123
Vooruit,0,1313
PVDA,1,1775
Vooruit,1,1255
Vlaams Belang,1,1275
NVA,1,1662
Open VLD,1,1706
Groen,1,1066
CD&V,1,1261
NVA,2,1657
Vlaams Belang,2,1304
Open VLD,2,1705
Vooruit,2,1347
PVDA,2,1753
CD&V,2,1185
Groen,2,1049
PVDA,3,1712
Groen,3,1105
Open VLD,3,1711
NVA,3,1701
Vlaams Belang,3,1331
CD&V,3,1145
Vooruit,3,1295
Groen,4,1074
Open VLD,4,1685
CD&V,4,1170
Vlaams Belang,4,1328
Vooruit,4,1296
PVDA,4,1715
NVA,4,1732
Open VLD,5,1721
NVA,5,1646
CD&V,5,1190
Vooruit,5,1334
PVDA,5,1704
Vlaams Belang,5,1363
Groen,5,1042
NVA,6,1752
Open VLD,6,1681
PVDA,6,1654
Vooruit,6,1325
Groen,6,1057
Vlaams Belang,6,1269
CD&V,6,1262
CD&V,7,1196
NVA,7,1759
Vlaams Belang,7,1318
Open VLD,7,1666
PVDA,7,1740
Groen,7,1041
Vooruit,7,1280
Vlaams Belang,8,1320
CD&V,8,1246
Open VLD,8,1658
Groen,8,1106
NVA,8,1619
Vooruit,8,1322
PVDA,8,1729
CD&V,9,1179
Vooruit,9,1269
PVDA,9,1754
Vlaams Belang,9,1297
Groen,9,1021
NVA,9,1757
Open VLD,9,1723
